Destino,Protocolo,Probabilidad,Informacion
broadcast,ARP,0.005945303210463734,7.394033895367782
broadcast,IP,0.00936385255648038,6.738682066755228
unicast,IP,0.9708680142687277,0.042652914693449305
unicast,ARP,0.005053507728894174,7.6284991490048055
unicast,IPv6,0.008769322235434007,6.833318940893304
